net,length_um
RF.reg_arr\[4\]\[8\],31.1
_1790_,31.1
RF.reg_arr\[3\]\[5\],31.06
RF.reg_arr\[8\]\[18\],31.06
RF.reg_arr\[10\]\[1\],31.04
RF.reg_arr\[24\]\[15\],31.04
_2618_,30.9
_2439_,30.895
RF.reg_arr\[18\]\[16\],30.88
RF.reg_arr\[2\]\[31\],30.83
RF.reg_arr\[13\]\[8\],30.78
RF.reg_arr\[20\]\[19\],30.76
_2503_,30.76
RF.reg_arr\[10\]\[11\],30.71
_2560_,30.66
_2931_,30.62
_1829_,30.52
RF.reg_arr\[0\]\[26\],30.5
_1517_,30.5
RF.reg_arr\[28\]\[12\],30.36
RF.reg_arr\[9\]\[10\],30.34
RF.reg_arr\[31\]\[19\],30.26
RF.reg_arr\[30\]\[12\],30.22
_2669_,30.22
_2633_,30.2
_2068_,30.16
net32,30.16
RF.reg_arr\[16\]\[7\],30.14
RF.reg_arr\[4\]\[3\],30.04
RF.reg_arr\[22\]\[16\],29.97
RF.reg_arr\[15\]\[27\],29.86
_1465_,29.86
_2879_,29.86
RF.reg_arr\[27\]\[20\],29.82
_2347_,29.82
_2359_,29.74
_1717_,29.68
_2792_,29.68
RF.reg_arr\[29\]\[31\],29.66
_1287_,29.66
_2465_,29.66
RF.reg_arr\[25\]\[20\],29.64
_2805_,29.6
_2755_,29.52
net35,29.52
RF.reg_arr\[12\]\[2\],29.5
_1070_,29.48
RF.reg_arr\[18\]\[27\],29.435
_2121_,29.36
RF.reg_arr\[5\]\[12\],29.26
RF.reg_arr\[21\]\[1\],29.22
RF.reg_arr\[19\]\[2\],29.2
_2624_,29.18
RF.reg_arr\[21\]\[15\],29.16
_2251_,29.16
RF.reg_arr\[28\]\[31\],29.12
RF.reg_arr\[3\]\[21\],29.06
RF.reg_arr\[12\]\[14\],29.04
RF.reg_arr\[17\]\[4\],29
RF.reg_arr\[28\]\[24\],28.88
_1378_,28.84
RF.reg_arr\[22\]\[8\],28.79
_2529_,28.72
RF.reg_arr\[0\]\[30\],28.7
RF.reg_arr\[21\]\[21\],28.7
_2130_,28.7
_2971_,28.56
RF.reg_arr\[31\]\[29\],28.48
_2951_,28.445
RF.reg_arr\[28\]\[22\],28.42
_2562_,28.36
RF.reg_arr\[12\]\[21\],28.34
RF.reg_arr\[12\]\[29\],28.34
RF.reg_arr\[31\]\[22\],28.3
RF.reg_arr\[22\]\[19\],28.275
RF.reg_arr\[0\]\[25\],28.26
_2947_,28.26
_2832_,28.25
RF.reg_arr\[0\]\[14\],28.2
RF.reg_arr\[20\]\[16\],28.165
RF.reg_arr\[20\]\[7\],28.16
_2520_,28.16
RF.reg_arr\[4\]\[9\],28.08
_2813_,28.06
_2279_,28.02
RF.reg_arr\[6\]\[23\],28.015
RF.reg_arr\[11\]\[27\],28
_1060_,28
RF.reg_arr\[16\]\[3\],27.98
RF.reg_arr\[29\]\[30\],27.98
_1408_,27.96
RF.reg_arr\[7\]\[10\],27.94
RF.reg_arr\[25\]\[19\],27.92
RF.reg_arr\[25\]\[24\],27.9
RF.reg_arr\[17\]\[2\],27.84
RF.reg_arr\[8\]\[17\],27.78
RF.reg_arr\[14\]\[29\],27.775
_2442_,27.76
_2686_,27.7
_2531_,27.66
_1925_,27.64
RF.reg_arr\[21\]\[22\],27.62
_1180_,27.605
RF.reg_arr\[30\]\[0\],27.585
RF.reg_arr\[29\]\[25\],27.56
_2378_,27.56
RF.reg_arr\[17\]\[20\],27.535
RF.reg_arr\[24\]\[10\],27.52
RF.reg_arr\[4\]\[24\],27.52
_2104_,27.52
RF.reg_arr\[8\]\[25\],27.5
_1773_,27.48
_1793_,27.48
RF.reg_arr\[2\]\[30\],27.39
_2772_,27.38
RF.reg_arr\[20\]\[2\],27.28
RF.reg_arr\[26\]\[19\],27.25
RF.reg_arr\[20\]\[22\],27.22
RF.reg_arr\[28\]\[30\],27.2
_1743_,27.16
RF.reg_arr\[30\]\[13\],27.13
RF.reg_arr\[9\]\[7\],27.11
RF.reg_arr\[15\]\[16\],27.1
